year,season,state,district,crop,crop_category,crop_type,unit,sum_insured,premium_rate,farmer_share_pct,state_share_pct,goi_share_pct,farmer_share_value,state_share_value,goi_share_value,indemnity_level,insurance_company,total_subsidy,total_premium,gov_subsidy_pct,premium_to_insured_pct
2018,Rabi,Haryana,Mahendragarh,Wheat,Cereals,Agriculture,1,66500.0,4.4962,1.5,1.4981,1.4981,997.5,996.2365,996.2365,90,SBI GENERAL INSURANCE,1992.473,2989.973,66.63849472888216,4.4962
2018,Rabi,Chhattisgarh,Balod,Linseed (Alsi),Oilseeds,Agriculture,1,11200.0,20.0,1.5,9.25,9.25,168.0,1036.0,1036.0,80,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,2072.0,2240.0,92.5,20.0
2021,Rabi,Assam,Nalbari,Sugarcane - Noble Cane,Sugar and Starch Crops,Horticulture & Commercial,1,112256.0,2.0,2.0,0.0,0.0,2245.12,0.0,0.0,90,RELIANCE GENERAL INSURANCE CO. LTD.,0.0,2245.12,0.0,2.0
2020,Kharif,Madhya Pradesh,Damoh,Black Gram (Urad),Pulses,Agriculture,1,22000.0,19.0,2.0,8.5,8.5,440.0,1870.0,1870.0,80,AGRICULTURE INSURANCE COMPANY,3740.0,4180.0,89.47368421052632,19.0
2018,Kharif,Assam,Nalbari,Jute,Fiber Crops,Horticulture & Commercial,1,56630.0,28.33,5.0,11.665,11.665,2831.5,6605.8895,6605.8895,80,HDFC ERGO GENERAL INSURANCE CO. LTD.,13211.779,16043.279000000002,82.35086480762442,28.330000000000005
2021,Rabi,Assam,Marigaon,Paddy - Summer,Cereals,Agriculture,1,69500.0,4.2,1.5,0.27,2.43,1042.5,187.65,1688.85,80,AGRICULTURE INSURANCE COMPANY,1876.5,2919.0,64.28571428571429,4.2
2020,Kharif,Madhya Pradesh,Damoh,Soybean (Bhat),Oilseeds,Agriculture,1,27000.0,12.0,2.0,5.0,5.0,540.0,1350.0,1350.0,80,AGRICULTURE INSURANCE COMPANY,2700.0,3240.0,83.33333333333334,12.0
2020,Kharif,Madhya Pradesh,Damoh,Paddy - RF (UnIR),Cereals,Agriculture,1,22000.0,25.0,2.0,11.5,11.5,440.0,2530.0,2530.0,80,AGRICULTURE INSURANCE COMPANY,5060.0,5500.0,92.0,25.0
2020,Kharif,Madhya Pradesh,Damoh,Maize (Makka),Millets,Agriculture,1,18000.0,17.0,2.0,7.5,7.5,360.0,1350.0,1350.0,80,AGRICULTURE INSURANCE COMPANY,2700.0,3060.0,88.23529411764706,17.0
2020,Kharif,Madhya Pradesh,Bhopal,Maize (Makka),Millets,Agriculture,1,19875.0,6.0,2.0,2.0,2.0,397.5,397.5,397.5,80,AGRICULTURE INSURANCE COMPANY,795.0,1192.5,66.66666666666666,6.0
